0	91,99,151,257,273,277,388,423,430,537,544,639,659,705,714,755,756,763,797,802,835,888,976,1033,1207,1345,1466,1641,1653,1701,1731,1778,1828,1871,1925,1940,1956,2008,2046,2076,2105,2120,2135,2163,2176,2222,2292,2339,
1	84,86,130,201,209,256,324,368,373,555,560,639,774,816,931,954,972,973,1071,1155,1167,1204,1316,1329,1435,1472,1536,1589,1605,1634,1684,1699,1723,1877,1905,1920,1930,1954,1966,1987,2023,2024,2036,2071,2146,2171,2217,2251,
2	25,94,180,275,307,469,525,607,637,749,770,843,872,925,928,956,1020,1104,1134,1141,1152,1198,1206,1208,1272,1304,1350,1352,1395,1434,1469,1488,1531,1552,1578,1619,1645,1896,1899,1904,1913,2059,2080,2169,2187,2197,2334,2335,
3	24,67,166,199,207,216,291,297,307,429,591,623,730,770,807,821,865,1007,1022,1085,1153,1162,1172,1176,1198,1241,1445,1447,1563,1565,1640,1718,1720,1740,1750,1795,1823,1863,1910,1970,2022,2080,2089,2121,2159,2260,2282,2322,
4	136,146,168,176,197,221,274,323,423,433,508,509,556,767,860,885,894,908,967,1053,1107,1112,1278,1297,1346,1381,1392,1400,1470,1483,1561,1777,1792,1822,1908,1954,1973,2081,2084,2091,2117,2139,2177,2237,2257,2280,2338,2339,
5	136,160,164,201,209,256,281,329,348,470,573,584,586,595,606,647,732,739,800,809,859,932,952,1006,1028,1040,1111,1144,1163,1198,1215,1219,1251,1306,1308,1331,1429,1541,1558,1617,1844,1908,1915,1978,2011,2141,2154,2195,
6	7,126,153,163,201,280,400,407,437,449,504,550,786,816,851,854,873,903,932,941,945,1004,1020,1028,1053,1130,1314,1395,1400,1479,1497,1514,1532,1566,1596,1660,1672,1690,1744,1800,1805,1834,1847,1862,2009,2040,2107,2185,
7	3,26,63,112,197,237,246,292,365,577,603,606,650,680,698,736,804,807,837,929,990,1048,1159,1249,1250,1289,1298,1348,1384,1441,1443,1461,1556,1579,1667,1671,1731,1868,1883,1963,1967,1971,2120,2150,2182,2261,2274,2296,
8	0,93,282,327,343,375,404,419,428,460,497,595,640,691,738,827,941,975,1046,1113,1131,1209,1247,1389,1398,1416,1425,1438,1468,1562,1574,1582,1707,1769,1838,1849,1879,1889,1933,1975,1993,2003,2021,2042,2080,2152,2221,2304,
9	21,100,174,237,321,334,594,604,605,606,624,627,671,694,696,741,780,834,845,848,869,902,1011,1090,1133,1162,1179,1202,1243,1253,1305,1333,1353,1438,1480,1531,1542,1551,1705,1747,1769,1941,2051,2173,2214,2217,2269,2298,
