RequestID	OriginPort	DestinationPort	EarliestDepartureTime	LatestArrivalTime	Demand	PenaltyCost
1	A	B	1	15	24.0	773.0
2	A	B	8	22	16.0	610.0
3	A	B	15	29	23.0	861.0
4	A	B	22	36	17.0	610.0
5	A	B	29	43	19.0	813.0
6	A	B	36	50	28.0	674.0
27	A	C	1	16	24.0	654.0
28	A	C	8	23	13.0	737.0
29	A	C	15	30	14.0	830.0
30	A	C	22	37	13.0	734.0
31	A	C	29	44	25.0	728.0
32	A	C	36	51	21.0	801.0
53	A	D	1	22	90.0	1943.0
54	A	D	8	29	114.0	1967.0
55	A	D	15	36	119.0	2085.0
56	A	D	22	43	104.0	1916.0
57	A	D	29	50	118.0	2128.0
79	A	E	1	24	109.0	1947.0
80	A	E	8	31	100.0	1973.0
81	A	E	15	38	103.0	1989.0
82	A	E	22	45	104.0	2130.0
83	A	E	29	52	94.0	2133.0
105	A	F	1	25	103.0	1912.0
106	A	F	8	32	95.0	1871.0
107	A	F	15	39	115.0	1994.0
108	A	F	22	46	102.0	2053.0
109	A	F	29	53	110.0	1926.0
131	A	G	1	29	107.0	1948.0
132	A	G	8	36	116.0	2122.0
133	A	G	15	43	108.0	1949.0
134	A	G	22	50	110.0	2163.0
157	A	H	1	51	95.0	2123.0
183	A	I	1	35	32.0	4426.0
184	A	I	8	42	26.0	4579.0
185	A	I	15	49	32.0	3752.0
209	A	J	1	41	29.0	3554.0
210	A	J	8	48	20.0	4467.0
211	A	J	15	55	33.0	4291.0
235	B	A	1	34	28.0	653.0
236	B	A	8	41	22.0	808.0
237	B	A	15	48	27.0	739.0
238	B	A	22	55	29.0	530.0
261	B	C	1	15	25.0	611.0
262	B	C	8	22	27.0	649.0
263	B	C	15	29	18.0	632.0
264	B	C	22	36	16.0	677.0
265	B	C	29	43	11.0	798.0
266	B	C	36	50	13.0	822.0
287	B	D	1	21	94.0	1837.0
288	B	D	8	28	90.0	2019.0
289	B	D	15	35	98.0	2186.0
