0	45,60,73,95,114,174,212,214,217,226,231,268,297,372,426,439,446,461,463,471,549,572,575,602,
1	19,47,58,64,72,129,140,220,241,274,307,324,347,360,366,382,433,434,445,452,465,495,536,543,
2	21,40,45,46,48,62,112,126,130,195,214,266,290,294,304,345,368,385,439,447,468,469,599,607,
3	19,32,34,36,41,138,139,151,163,164,224,284,291,322,390,400,431,485,508,555,562,585,593,599,
4	13,19,36,52,68,82,88,91,105,112,124,149,237,253,369,382,412,430,449,455,488,519,544,557,
5	42,46,105,138,143,153,224,228,263,312,336,346,371,374,404,410,417,426,450,460,512,568,570,577,
6	31,41,162,183,192,261,309,403,425,450,453,492,494,499,503,513,516,517,522,579,593,595,597,608,
7	33,55,70,88,94,202,221,315,317,348,353,362,373,389,428,438,453,471,473,507,515,538,542,572,
8	3,13,51,60,72,75,114,170,210,218,250,258,274,338,361,411,436,455,474,516,575,579,582,602,
9	6,55,73,79,81,102,136,144,177,192,229,231,261,272,276,305,325,345,375,388,400,418,591,594,
10	10,65,107,179,181,225,287,294,299,316,399,406,420,432,452,487,494,530,543,584,589,597,600,604,
11	7,13,36,54,59,97,99,144,160,320,321,376,386,410,431,490,506,522,528,529,530,581,598,611,
12	11,37,53,61,64,85,110,152,224,254,278,287,304,321,334,384,385,441,445,452,508,548,563,596,
13	24,38,44,63,69,107,174,179,187,190,198,220,323,331,336,351,352,369,388,395,407,449,570,589,
14	15,27,41,76,98,109,123,199,204,223,260,295,298,319,372,376,384,440,457,463,496,533,584,586,
15	8,48,56,129,144,159,201,210,217,240,245,269,283,302,329,343,393,403,438,463,484,537,567,612,
16	7,24,65,117,139,142,181,188,199,200,202,234,284,341,373,376,389,394,412,421,456,488,508,552,
17	11,36,59,82,88,103,185,222,256,259,303,311,359,382,439,456,469,496,511,512,541,550,562,612,
18	11,32,89,97,145,147,154,159,194,223,242,256,257,306,389,457,471,486,504,537,555,570,600,605,
19	50,81,92,106,141,165,170,195,218,226,249,266,321,363,454,477,490,526,546,549,551,580,604,605,
20	55,85,94,99,127,177,187,189,194,297,313,329,376,379,387,410,452,455,456,509,537,538,550,601,
21	23,77,108,124,131,206,213,277,301,310,317,326,341,346,379,401,419,433,459,470,491,549,567,610,
22	0,41,58,63,90,144,154,209,215,229,250,260,273,332,361,376,387,443,460,519,528,543,563,579,
23	25,45,91,114,153,158,199,229,241,244,300,400,408,412,482,484,500,517,553,600,604,605,609,611,
24	12,49,51,69,84,107,170,183,200,205,288,341,378,385,404,419,450,475,481,495,547,553,609,610,
25	34,49,77,143,161,206,238,275,278,297,298,299,300,306,330,335,390,407,418,430,500,536,556,586,
26	7,113,118,129,134,161,169,174,189,198,206,219,276,288,310,318,327,328,347,419,497,533,557,598,
27	12,14,23,58,60,77,132,145,164,203,287,316,388,421,495,525,526,554,565,566,569,587,591,592,
28	88,94,102,150,167,182,203,209,222,239,240,281,284,316,344,350,363,371,401,460,488,516,552,603,
29	34,64,76,83,111,185,195,226,308,344,378,418,426,428,450,453,460,483,487,500,508,534,565,579,
30	69,108,136,147,150,151,173,198,214,250,265,326,343,371,451,493,514,522,524,527,566,571,589,596,
31	27,53,66,82,87,99,102,120,174,192,229,277,343,393,396,413,435,457,474,478,492,512,550,610,
32	50,67,77,151,169,238,241,271,272,328,334,340,359,369,391,396,405,410,428,433,446,463,495,608,
33	42,47,68,84,91,95,109,126,129,136,197,210,215,218,231,267,369,386,442,507,550,567,581,586,
34	70,79,83,123,165,170,205,215,261,285,429,435,436,448,449,480,507,517,523,524,534,557,580,604,
35	7,10,59,102,147,182,195,209,212,219,236,272,278,284,285,304,333,371,415,438,497,516,523,537,
36	8,47,64,113,126,160,165,179,186,190,197,241,244,275,369,406,416,421,433,448,449,471,594,611,
37	5,9,39,102,196,203,221,235,246,270,299,321,328,390,399,433,482,517,525,545,576,581,586,596,
38	27,32,47,94,147,200,212,216,245,264,303,396,405,421,447,507,513,525,528,540,554,557,568,592,
39	36,50,97,165,176,192,210,334,339,369,397,401,406,414,445,460,511,516,522,553,559,566,585,602,
40	28,29,36,114,154,194,218,224,241,262,282,291,302,304,320,353,373,397,438,455,471,582,594,610,
41	13,40,87,220,242,243,262,281,288,347,349,375,391,392,430,444,447,496,535,541,564,568,588,598,
42	3,19,73,103,109,138,185,208,248,252,273,282,307,320,321,404,480,490,508,533,548,549,574,587,
43	37,91,119,136,161,191,235,242,244,267,365,372,404,443,465,483,505,535,541,585,595,601,606,609,
44	17,23,102,111,166,183,184,256,317,347,352,381,382,392,405,415,419,434,453,478,532,577,597,604,
45	22,71,95,124,199,210,236,244,287,290,300,351,358,382,384,414,429,476,520,525,528,559,578,609,
46	23,42,87,104,109,110,162,169,179,188,208,221,260,280,288,335,380,382,397,503,510,513,581,608,
47	2,29,47,59,125,144,191,205,255,271,305,316,337,339,366,374,399,411,491,544,571,582,596,599,
48	3,17,88,90,161,186,194,300,305,328,351,360,361,362,364,387,404,456,471,489,507,567,581,605,
49	87,89,102,110,148,179,189,207,226,239,259,317,391,406,427,437,440,460,486,494,569,572,592,603,
50	14,24,38,85,147,196,217,230,233,312,332,352,364,367,370,384,386,389,422,440,465,529,578,603,
51	51,52,55,57,83,149,155,184,187,194,206,217,265,270,286,298,310,391,408,457,464,517,533,604,
52	6,25,51,62,81,132,134,146,158,167,173,178,234,247,271,272,319,388,395,446,451,514,538,547,
53	22,55,67,85,205,208,253,289,299,334,394,396,408,419,440,443,454,462,468,495,510,521,550,590,
54	23,28,39,51,87,91,116,123,149,153,158,218,260,307,316,392,403,409,429,442,471,485,514,596,
55	0,46,58,83,84,88,98,111,117,138,148,166,200,207,339,341,386,412,442,444,516,525,591,595,
56	16,19,39,44,65,85,94,137,169,210,216,237,338,359,364,373,429,448,508,509,568,572,597,605,
57	3,15,24,31,85,95,122,130,140,174,175,206,217,315,372,385,437,454,489,508,521,549,579,582,
58	10,20,32,36,38,90,91,105,112,125,159,213,214,237,240,245,272,280,342,372,392,488,587,600,
59	79,80,85,101,105,114,197,222,233,238,244,274,300,302,317,333,357,418,455,494,522,529,530,587,
60	0,13,25,28,47,86,110,120,139,185,186,219,247,286,289,369,377,422,425,435,471,510,519,603,
61	18,63,79,89,92,107,176,186,195,201,248,283,289,312,319,348,356,363,367,374,376,539,559,566,
62	8,50,83,127,187,191,192,209,229,264,275,281,282,283,302,336,339,358,413,490,512,513,585,586,
