0	9,21,36,67,70,87,88,103,117,140,192,195,211,216,242,
1	9,25,39,58,72,77,81,87,88,115,148,165,174,193,230,
2	29,32,79,82,99,142,147,167,175,177,192,197,208,216,243,
3	9,28,31,32,34,114,127,151,163,183,185,193,202,203,244,
4	17,31,38,42,53,79,105,120,128,132,133,164,186,232,244,
5	1,11,35,57,65,82,91,99,102,119,128,142,169,174,231,
6	6,47,53,68,84,100,121,127,131,140,170,196,203,204,244,
7	23,48,49,69,78,85,117,141,143,148,180,186,207,227,232,
8	0,36,48,93,94,95,98,113,131,162,163,169,178,192,197,
9	0,23,42,43,112,114,127,130,138,149,186,187,201,205,231,
