0	9,39,70,87,88,117,174,192,193,195,211,242,251,277,292,314,323,337,359,396,
1	25,72,99,115,147,165,177,185,197,243,265,285,288,333,335,338,398,404,423,431,
2	28,31,32,38,53,105,127,128,151,163,183,202,244,273,290,335,370,388,389,420,
3	31,42,53,57,82,91,99,119,121,257,267,291,321,358,376,384,396,398,425,430,
4	47,48,84,127,131,143,148,180,203,207,227,262,279,324,334,341,356,373,397,426,
5	42,69,94,95,98,163,169,178,197,201,256,292,304,305,349,368,369,387,405,418,
6	0,23,43,50,62,82,98,123,130,148,187,209,222,227,370,377,383,394,419,430,
7	11,32,36,41,43,58,80,86,128,174,182,193,258,266,270,275,294,307,360,411,
8	3,19,42,77,94,95,125,184,226,248,258,269,280,286,296,328,363,368,371,410,
9	16,25,86,109,110,139,149,152,180,184,237,260,270,317,323,331,352,374,377,413,
