RequestID	OriginPort	DestinationPort	EarliestDepartureTime	LatestArrivalTime	Demand	PenaltyCost
1	A	B	1	15	24.0	773.0
2	A	B	8	22	16.0	610.0
3	A	B	15	29	23.0	861.0
4	A	B	22	36	17.0	610.0
5	A	B	29	43	19.0	813.0
6	A	B	36	50	28.0	674.0
7	A	B	43	57	24.0	654.0
27	A	C	1	16	13.0	737.0
28	A	C	8	23	14.0	830.0
29	A	C	15	30	13.0	734.0
30	A	C	22	37	25.0	728.0
31	A	C	29	44	21.0	801.0
32	A	C	36	51	10.0	643.0
33	A	C	43	58	26.0	667.0
53	A	D	1	22	119.0	2085.0
54	A	D	8	29	104.0	1916.0
55	A	D	15	36	118.0	2128.0
56	A	D	22	43	109.0	1947.0
57	A	D	29	50	100.0	1973.0
58	A	D	36	57	103.0	1989.0
79	A	E	1	24	104.0	2130.0
80	A	E	8	31	94.0	2133.0
81	A	E	15	38	103.0	1912.0
82	A	E	22	45	95.0	1871.0
83	A	E	29	52	115.0	1994.0
84	A	E	36	59	102.0	2053.0
105	A	F	1	25	110.0	1926.0
106	A	F	8	32	107.0	1948.0
107	A	F	15	39	116.0	2122.0
108	A	F	22	46	108.0	1949.0
109	A	F	29	53	110.0	2163.0
110	A	F	36	60	95.0	2123.0
131	A	G	1	29	108.0	1985.0
132	A	G	8	36	99.0	2015.0
133	A	G	15	43	109.0	1850.0
134	A	G	22	50	104.0	1810.0
135	A	G	29	57	91.0	1993.0
157	A	H	1	51	109.0	1958.0
158	A	H	8	58	118.0	1953.0
183	A	I	1	35	32.0	5040.0
184	A	I	8	42	37.0	4697.0
185	A	I	15	49	39.0	3654.0
186	A	I	22	56	35.0	4057.0
209	A	J	1	41	37.0	4247.0
210	A	J	8	48	28.0	4164.0
211	A	J	15	55	26.0	4385.0
212	A	J	22	62	21.0	4990.0
235	B	A	1	34	13.0	822.0
236	B	A	8	41	12.0	537.0
237	B	A	15	48	10.0	719.0
238	B	A	22	55	15.0	886.0
