RequestID	OriginPort	DestinationPort	EarliestDepartureTime	LatestArrivalTime	Demand	PenaltyCost
1	A	B	1	15	24.0	773.0
2	A	B	8	22	16.0	610.0
3	A	B	15	29	23.0	861.0
4	A	B	22	36	17.0	610.0
5	A	B	29	43	19.0	813.0
6	A	B	36	50	28.0	674.0
7	A	B	43	57	24.0	654.0
8	A	B	50	64	13.0	737.0
9	A	B	57	71	14.0	830.0
10	A	B	64	78	13.0	734.0
27	A	C	1	16	25.0	728.0
28	A	C	8	23	21.0	801.0
29	A	C	15	30	10.0	643.0
30	A	C	22	37	26.0	667.0
31	A	C	29	44	29.0	785.0
32	A	C	36	51	19.0	616.0
33	A	C	43	58	28.0	828.0
34	A	C	50	65	22.0	647.0
35	A	C	57	72	17.0	673.0
36	A	C	64	79	19.0	689.0
53	A	D	1	22	104.0	2130.0
54	A	D	8	29	94.0	2133.0
55	A	D	15	36	103.0	1912.0
56	A	D	22	43	95.0	1871.0
57	A	D	29	50	115.0	1994.0
58	A	D	36	57	102.0	2053.0
59	A	D	43	64	110.0	1926.0
60	A	D	50	71	107.0	1948.0
61	A	D	57	78	116.0	2122.0
79	A	E	1	24	108.0	1949.0
80	A	E	8	31	110.0	2163.0
81	A	E	15	38	95.0	2123.0
82	A	E	22	45	108.0	1985.0
83	A	E	29	52	99.0	2015.0
84	A	E	36	59	109.0	1850.0
85	A	E	43	66	104.0	1810.0
86	A	E	50	73	91.0	1993.0
87	A	E	57	80	109.0	1958.0
105	A	F	1	25	118.0	1953.0
106	A	F	8	32	109.0	2108.0
107	A	F	15	39	116.0	2039.0
108	A	F	22	46	119.0	1830.0
109	A	F	29	53	113.0	1911.0
110	A	F	36	60	116.0	1949.0
111	A	F	43	67	102.0	1932.0
112	A	F	50	74	99.0	1977.0
113	A	F	57	81	92.0	2098.0
131	A	G	1	29	95.0	2122.0
132	A	G	8	36	94.0	1837.0
133	A	G	15	43	90.0	2019.0
134	A	G	22	50	98.0	2186.0
