RequestID	OriginPort	DestinationPort	EarliestDepartureTime	LatestArrivalTime	Demand	PenaltyCost
1	A3	A1	1	15	86.0	981.0
2	A4	A9	1	15	81.0	1600.0
3	A6	A5	1	15	79.0	1166.0
4	A7	A4	1	15	69.0	2469.0
5	A9	A6	1	15	93.0	2382.0
6	D1	D3	1	15	63.0	564.0
7	D5	D1	1	15	57.0	511.0
8	E1	E2	1	15	40.0	982.0
9	E2	E3	1	15	32.0	812.0
10	A2	A1	1	16	70.0	2052.0
11	A4	A6	1	16	99.0	1474.0
12	A8	A2	1	16	87.0	1966.0
13	D1	D2	1	16	90.0	919.0
14	D2	D3	1	16	76.0	949.0
15	D5	D3	1	16	56.0	541.0
16	E1	E3	1	16	49.0	861.0
17	A2	A10	1	17	85.0	786.0
18	A4	A5	1	17	73.0	508.0
19	A5	A2	1	17	53.0	1196.0
20	A7	A6	1	17	66.0	2218.0
21	A8	A11	1	17	98.0	2231.0
22	A1	A2	1	18	80.0	857.0
23	A7	A5	1	18	60.0	2208.0
24	A8	A1	1	18	50.0	1884.0
25	A11	A8	1	18	88.0	1925.0
26	A3	A2	1	19	60.0	2066.0
27	A5	A1	1	19	97.0	528.0
28	A7	A9	1	19	69.0	2207.0
29	A6	A2	1	20	89.0	2486.0
30	A9	A5	1	20	94.0	840.0
31	A10	A3	1	20	98.0	1948.0
32	E3	D1	1	20	335.0	902.0
33	A1	A10	1	21	72.0	1424.0
34	A10	A1	1	21	92.0	1503.0
35	E2	D1	1	21	398.0	984.0
36	A3	A10	1	22	67.0	594.0
37	A6	A1	1	22	53.0	558.0
38	A8	A10	1	22	74.0	2443.0
39	E1	D1	1	22	397.0	883.0
40	E3	D2	1	22	300.0	627.0
41	E3	D3	1	22	261.0	924.0
42	A3	A1	8	22	52.0	520.0
43	A4	A9	8	22	67.0	673.0
44	A6	A5	8	22	92.0	507.0
45	A7	A4	8	22	65.0	1563.0
46	A9	A6	8	22	95.0	1054.0
47	D1	D3	8	22	93.0	804.0
48	D5	D1	8	22	95.0	522.0
49	E1	E2	8	22	42.0	748.0
50	E2	E3	8	22	40.0	760.0
51	A2	A3	1	23	68.0	1455.0
52	A5	A10	1	23	85.0	1145.0
53	D5	D2	1	23	50.0	850.0
54	E2	D2	1	23	349.0	803.0
55	E2	D3	1	23	247.0	694.0
56	A2	A1	8	23	95.0	834.0
57	A4	A6	8	23	50.0	1029.0
58	A8	A2	8	23	94.0	1095.0
59	D1	D2	8	23	71.0	843.0
60	D2	D3	8	23	70.0	676.0
61	D5	D3	8	23	83.0	870.0
62	E1	E3	8	23	47.0	789.0
63	A4	A2	1	24	75.0	1123.0
64	A11	A2	1	24	77.0	2446.0
65	D3	B6	1	24	422.0	7013.0
66	E1	D2	1	24	337.0	815.0
67	E1	D3	1	24	363.0	870.0
68	A2	A10	8	24	81.0	1129.0
69	A4	A5	8	24	87.0	880.0
70	A5	A2	8	24	56.0	1926.0
71	A7	A6	8	24	96.0	1122.0
72	A8	A11	8	24	76.0	857.0
73	A1	B4	1	25	622.0	2841.0
74	A7	A2	1	25	68.0	1684.0
75	A10	A2	1	25	97.0	1568.0
76	D1	B6	1	25	342.0	7166.0
77	A1	A2	8	25	62.0	1971.0
78	A7	A5	8	25	54.0	1029.0
79	A8	A1	8	25	59.0	1095.0
80	A11	A8	8	25	87.0	593.0
81	B4	B5	8	25	31.0	946.0
82	C3	C2	8	25	40.0	542.0
83	A1	B2	1	26	706.0	2536.0
84	A4	A1	1	26	58.0	2266.0
85	A6	A10	1	26	67.0	2471.0
86	A6	C3	1	26	615.0	3302.0
87	A11	A1	1	26	63.0	1526.0
88	D2	D4	1	26	97.0	608.0
89	D5	B6	1	26	481.0	7009.0
90	A3	A2	8	26	63.0	1837.0
91	A5	A1	8	26	64.0	627.0
92	A7	A9	8	26	61.0	780.0
93	A1	A3	1	27	80.0	1955.0
94	A2	B4	1	27	660.0	2812.0
95	A7	A1	1	27	51.0	1454.0
96	A9	A2	1	27	54.0	1921.0
97	A9	C3	1	27	586.0	3409.0
98	D1	D4	1	27	80.0	836.0
99	A6	A2	8	27	72.0	1189.0
100	A9	A5	8	27	63.0	1990.0
101	A10	A3	8	27	60.0	799.0
102	B6	B7	8	27	48.0	843.0
103	E3	D1	8	27	383.0	517.0
104	A4	C3	1	28	539.0	3288.0
105	A8	A3	1	28	98.0	1163.0
106	D5	D4	1	28	56.0	548.0
107	A1	A10	8	28	90.0	1839.0
108	A10	A1	8	28	71.0	1459.0
109	E2	D1	8	28	365.0	769.0
110	A1	B5	1	29	716.0	2798.0
111	A2	B2	1	29	674.0	2500.0
112	A3	B4	1	29	737.0	2856.0
113	A5	A3	1	29	53.0	1506.0
114	A5	B2	1	29	738.0	2900.0
115	A8	B4	1	29	744.0	2670.0
116	A9	A1	1	29	53.0	1198.0
117	A3	A10	8	29	76.0	2412.0
118	A6	A1	8	29	84.0	743.0
119	A8	A10	8	29	75.0	2302.0
120	E1	D1	8	29	233.0	674.0
121	E3	D2	8	29	339.0	516.0
122	E3	D3	8	29	252.0	732.0
123	A3	A1	15	29	70.0	870.0
124	A4	A9	15	29	64.0	1651.0
125	A6	A5	15	29	58.0	1243.0
126	A7	A4	15	29	61.0	1576.0
127	A9	A6	15	29	67.0	1120.0
128	D1	D3	15	29	91.0	835.0
129	D5	D1	15	29	55.0	967.0
130	E1	E2	15	29	47.0	926.0
131	E2	E3	15	29	37.0	689.0
132	A4	A10	1	30	76.0	508.0
133	A5	B4	1	30	606.0	2893.0
134	A6	B2	1	30	654.0	2860.0
135	A6	C2	1	30	583.0	3145.0
136	A11	A10	1	30	62.0	750.0
137	D3	B7	1	30	329.0	7168.0
138	A2	A3	8	30	91.0	2189.0
139	A5	A10	8	30	63.0	1740.0
140	C3	C1	8	30	39.0	707.0
141	D5	D2	8	30	92.0	910.0
142	E2	D2	8	30	209.0	630.0
143	E2	D3	8	30	368.0	714.0
144	A2	A1	15	30	87.0	2252.0
145	A4	A6	15	30	64.0	2466.0
146	A8	A2	15	30	91.0	2042.0
147	D1	D2	15	30	68.0	578.0
148	D2	D3	15	30	63.0	626.0
149	D5	D3	15	30	50.0	634.0
150	E1	E3	15	30	34.0	559.0
151	A1	B1	1	31	757.0	2981.0
152	A2	B5	1	31	641.0	2960.0
153	A3	B2	1	31	609.0	2986.0
154	A7	A10	1	31	70.0	1530.0
155	A8	B2	1	31	602.0	2572.0
156	A9	C2	1	31	670.0	3126.0
157	D1	B7	1	31	343.0	7070.0
158	D2	B6	1	31	462.0	7158.0
159	A4	A2	8	31	76.0	1534.0
160	A11	A2	8	31	77.0	1236.0
161	D3	B6	8	31	329.0	7108.0
162	D3	D4	8	31	68.0	956.0
163	E1	D2	8	31	313.0	937.0
164	E1	D3	8	31	330.0	748.0
165	A2	A10	15	31	70.0	1836.0
166	A4	A5	15	31	50.0	829.0
167	A5	A2	15	31	87.0	2356.0
168	A7	A6	15	31	69.0	1248.0
169	A8	A11	15	31	53.0	749.0
170	A4	B2	1	32	706.0	2965.0
171	A4	C2	1	32	503.0	3164.0
172	A6	A3	1	32	79.0	1221.0
173	A7	C3	1	32	508.0	3386.0
174	D2	E1	1	32	205.0	1761.0
175	D5	B7	1	32	377.0	7334.0
176	E3	B6	1	32	161.0	7741.0
177	A1	B4	8	32	678.0	2997.0
178	A7	A2	8	32	64.0	772.0
179	A10	A2	8	32	71.0	1684.0
180	D1	B6	8	32	318.0	7439.0
181	A1	A2	15	32	74.0	1562.0
182	A7	A5	15	32	85.0	1685.0
183	A8	A1	15	32	96.0	1246.0
184	A11	A8	15	32	52.0	853.0
185	B4	B5	15	32	38.0	825.0
186	C3	C2	15	32	44.0	971.0
187	A3	B5	1	33	789.0	2809.0
188	A6	B4	1	33	744.0	2513.0
189	A7	B2	1	33	630.0	2546.0
190	A8	B5	1	33	787.0	2876.0
191	A9	A10	1	33	59.0	2411.0
192	D1	E1	1	33	207.0	1605.0
193	D2	E2	1	33	326.0	1891.0
194	E2	B6	1	33	136.0	7648.0
195	A1	B2	8	33	716.0	2916.0
196	A4	A1	8	33	83.0	1303.0
197	A6	A10	8	33	70.0	1652.0
198	A6	C3	8	33	544.0	3460.0
199	A11	A1	8	33	64.0	2161.0
200	D2	D4	8	33	54.0	884.0
201	D5	B6	8	33	409.0	7262.0
202	A3	A2	15	33	79.0	1024.0
203	A5	A1	15	33	80.0	670.0
204	A7	A9	15	33	92.0	2129.0
205	B2	B1	15	33	35.0	721.0
206	C2	C1	15	33	44.0	980.0
207	A1	B3	1	34	697.0	2863.0
208	A2	B1	1	34	688.0	2711.0
209	A5	B1	1	34	646.0	2871.0
210	A5	B5	1	34	737.0	2550.0
211	D1	E2	1	34	351.0	1726.0
212	D2	E3	1	34	394.0	1652.0
213	D5	E1	1	34	244.0	1917.0
214	E1	B6	1	34	167.0	8112.0
215	E3	D4	1	34	203.0	802.0
216	A1	A3	8	34	91.0	1050.0
217	A2	B4	8	34	656.0	2776.0
218	A7	A1	8	34	68.0	882.0
219	A9	A2	8	34	98.0	1293.0
220	A9	C3	8	34	515.0	3025.0
221	D1	D4	8	34	60.0	696.0
222	A6	A2	15	34	54.0	1436.0
223	A9	A5	15	34	86.0	822.0
224	A10	A3	15	34	98.0	1552.0
225	B6	B7	15	34	40.0	778.0
226	D4	E1	15	34	249.0	1717.0
227	E3	D1	15	34	205.0	873.0
228	A6	B1	1	35	631.0	2848.0
